trace_ts_us,event_index,job_id,event_type,db_name,cf_name,is_manual,is_trivial_move,compaction_reason,source_level,target_level,bg_thread_id,file_number,file_name,file_size,smallest_user_key,largest_user_key,seqno_smallest,seqno_largest,output_level,status,bytes_read_logical,bytes_written_logical,input_count,output_count,notes
1776055344136600,0,1,job_start,"/tmp/ldb-b",default,0,0,size,0,1,1124515,,,,30303030303030303030303030303034,30303030303030303030303030333137,294,248,,,,,,,
1776055344136661,1,1,job_input,"/tmp/ldb-b",default,,,,0,1,1124515,13,,64339,30303030303030303030303030303034,30303030303030303030303030333137,294,248,,,,,,,
1776055344136676,2,1,job_input,"/tmp/ldb-b",default,,,,0,1,1124515,9,,64331,30303030303030303030303030303034,30303030303030303030303030323934,174,178,,,,,,,
1776055344136689,3,1,job_input,"/tmp/ldb-b",default,,,,0,1,1124515,11,,64356,30303030303030303030303030303037,30303030303030303030303030333134,191,211,,,,,,,
1776055344136701,4,1,job_input,"/tmp/ldb-b",default,,,,0,1,1124515,15,,15871,30303030303030303030303030303134,30303030303030303030303030333037,311,320,,,,,,,
1776055344136713,5,1,job_input,"/tmp/ldb-b",default,,,,1,1,1124515,7,,64351,30303030303030303030303030303034,30303030303030303030303030333136,83,77,,,,,,,
1776055344136824,6,1,job_output_create,"/tmp/ldb-b",default,,,,,,1124515,16,"000016.ldb",,,,,,1,,,,,,
1776055344165547,7,1,job_output_finish,"/tmp/ldb-b",default,,,,,,1124515,16,,180154,30303030303030303030303030303034,30303030303030303030303030333137,294,293,1,,,,,,
1776055344184248,8,1,job_install,"/tmp/ldb-b",default,,,,0,1,1124515,,,,,,,,,"ok",,,,,
1776055344184294,9,1,job_input_delete,"/tmp/ldb-b",default,,,,0,,1124515,13,,64339,30303030303030303030303030303034,30303030303030303030303030333137,294,248,,,,,,,"logical install-time obsolescence"
1776055344184317,10,1,job_input_delete,"/tmp/ldb-b",default,,,,0,,1124515,9,,64331,30303030303030303030303030303034,30303030303030303030303030323934,174,178,,,,,,,"logical install-time obsolescence"
1776055344184332,11,1,job_input_delete,"/tmp/ldb-b",default,,,,0,,1124515,11,,64356,30303030303030303030303030303037,30303030303030303030303030333134,191,211,,,,,,,"logical install-time obsolescence"
1776055344184346,12,1,job_input_delete,"/tmp/ldb-b",default,,,,0,,1124515,15,,15871,30303030303030303030303030303134,30303030303030303030303030333037,311,320,,,,,,,"logical install-time obsolescence"
1776055344184359,13,1,job_input_delete,"/tmp/ldb-b",default,,,,1,,1124515,7,,64351,30303030303030303030303030303034,30303030303030303030303030333136,83,77,,,,,,,"logical install-time obsolescence"
1776055344184397,14,1,job_end,"/tmp/ldb-b",default,,,,0,1,1124515,,,,,,,,,"ok",273248,180154,5,1,
1776055344185216,15,2,job_start,"/tmp/ldb-b",default,1,0,manual,1,2,1124515,,,,30303030303030303030303030303030,30303030303030303030303030333137,18,293,,,,,,,
1776055344185256,16,2,job_input,"/tmp/ldb-b",default,,,,1,2,1124515,16,,180154,30303030303030303030303030303034,30303030303030303030303030333137,294,293,,,,,,,
1776055344185270,17,2,job_input,"/tmp/ldb-b",default,,,,2,2,1124515,5,,64347,30303030303030303030303030303030,30303030303030303030303030333135,18,39,,,,,,,
1776055344185378,18,2,job_output_create,"/tmp/ldb-b",default,,,,,,1124515,17,"000017.ldb",,,,,,2,,,,,,
1776055344213837,19,2,job_output_finish,"/tmp/ldb-b",default,,,,,,1124515,17,,210673,30303030303030303030303030303030,30303030303030303030303030333137,18,293,2,,,,,,
1776055344232156,20,2,job_install,"/tmp/ldb-b",default,,,,1,2,1124515,,,,,,,,,"ok",,,,,
1776055344232202,21,2,job_input_delete,"/tmp/ldb-b",default,,,,1,,1124515,16,,180154,30303030303030303030303030303034,30303030303030303030303030333137,294,293,,,,,,,"logical install-time obsolescence"
1776055344232223,22,2,job_input_delete,"/tmp/ldb-b",default,,,,2,,1124515,5,,64347,30303030303030303030303030303030,30303030303030303030303030333135,18,39,,,,,,,"logical install-time obsolescence"
1776055344232262,23,2,job_end,"/tmp/ldb-b",default,,,,1,2,1124515,,,,,,,,,"ok",244501,210673,2,1,
